Model,Input Size,Params (M),GFLOPs
YOLOv11-n,640,2.616,6.484
YOLOv11-s,640,9.444,21.472
YOLOv11-m,640,20.092,67.99
YOLOv11-l,640,25.341,86.918
YOLOv11-x,640,56.919,194.916
